prob,avg_cost,feasible,time
STAGE1_1,3635.8,True,4.404000282287598
STAGE1_10,2726.2475000000004,True,669.0664258003235
STAGE1_11,2546.6066666666666,True,179.67124342918396
STAGE1_12,2333.231,True,992.4852478504181
STAGE1_13,4875.512,True,0.8035104274749756
STAGE1_14,4225.804,True,5.1340179443359375
STAGE1_15,4005.882499999999,True,3.6379992961883545
STAGE1_16,3350.370000000001,True,39.83970665931702
STAGE1_17,3322.8413333333333,True,15.186506509780884
STAGE1_18,3130.8026666666674,True,186.63056325912476
STAGE1_2,3441.6319999999996,True,5.823034763336182
STAGE1_3,3026.7425,True,25.11255431175232
STAGE1_4,2862.6095,True,367.2276237010956
STAGE1_5,2391.2183333333332,True,94.11263465881348
STAGE1_6,2168.257,True,1215.1093754768372
STAGE1_7,3432.6259999999997,True,4.600001811981201
STAGE1_8,3284.256,True,19.564295530319214
STAGE1_9,3044.0510000000004,True,28.338746309280396
