prob,avg_cost,feasible,time
STAGE1_1,3533.3920000000003,True,9.34467887878418
STAGE1_10,2582.926,True,688.6079795360565
STAGE1_11,2424.864333333333,True,4320.3215918540955
STAGE1_12,2251.3933333333334,True,1646.2125360965729
STAGE1_13,4861.716,True,1.2742836475372314
STAGE1_14,4121.576,True,11.792074203491211
STAGE1_15,3969.3279999999995,True,8.410610437393188
STAGE1_16,3224.256,True,120.92373490333557
STAGE1_17,3273.9309999999996,True,25.96444320678711
STAGE1_18,3064.6153333333336,True,483.02727603912354
STAGE1_2,3248.29,True,17.72376799583435
STAGE1_3,2893.2039999999997,True,53.33399319648743
STAGE1_4,2662.0015000000003,True,783.1645212173462
STAGE1_5,2269.7866666666664,True,817.0333368778229
